nimi;haldusala;registrikood
Eesti Keele Instituut;Haridus- ja Teadusministeeriumi haldusala;70004011
Eesti Noorsootöö Keskus;Haridus- ja Teadusministeeriumi haldusala;70005312
Eesti Teadusagentuur;Haridus- ja Teadusministeeriumi haldusala;90000759
Haridus- ja Teadusministeerium;Haridus- ja Teadusministeeriumi haldusala;70000740
Hariduse Infotehnoloogia Sihtasutus;Haridus- ja Teadusministeeriumi haldusala;90005872
Keeleinspektsioon;Haridus- ja Teadusministeeriumi haldusala;70003690
Rahvusarhiiv;Haridus- ja Teadusministeeriumi haldusala;70001946
SA Teaduskeskus AHHAA;Haridus- ja Teadusministeeriumi haldusala;90007572
Sihtasutus Archimedes;Haridus- ja Teadusministeeriumi haldusala;80011561
Sihtasutus Innove;Haridus- ja Teadusministeeriumi haldusala;90008287
Sihtasutus Kutsekoda;Haridus- ja Teadusministeeriumi haldusala;90006414
Spordikoolituse ja –Teabe Sihtasutus;Haridus- ja Teadusministeeriumi haldusala;90007023
Andmekaitse Inspektsioon;Justiitsministeeriumi haldusala;70004235
Eesti Kohtuekspertiisi Instituut;Justiitsministeeriumi haldusala;70003572
Justiitsministeerium;Justiitsministeeriumi haldusala;70000898
Konkurentsiamet;Justiitsministeeriumi haldusala;70000303
Patendiamet;Justiitsministeeriumi haldusala;70003164
Registrite ja Infosüsteemide Keskus;Justiitsministeeriumi haldusala;70000310
Eesti Sõjamuuseum;Kaitseministeeriumi haldusala;70006139
Kaitseliit;Kaitseministeeriumi haldusala;74000725
Kaitseministeerium;Kaitseministeeriumi haldusala;70004502
Kaitseressursside Amet;Kaitseministeeriumi haldusala;70007647
Kaitsevägi;Kaitseministeeriumi haldusala;70008641
Seli tervisekeskus;Kaitseministeeriumi haldusala;70006257
Teabeamet;Kaitseministeeriumi haldusala;70005938
Keskkonnaagentuur;Keskkonnaministeeriumi haldusala;70009540
Keskkonnaamet;Keskkonnaministeeriumi haldusala;70008658
Keskkonnainspektsioon;Keskkonnaministeeriumi haldusala;70003106
Keskkonnaministeerium;Keskkonnaministeeriumi haldusala;70001231
Maa-amet;Keskkonnaministeeriumi haldusala;70003098
SA Erametsakeskus;Keskkonnaministeeriumi haldusala;90005449
Eesti Arhitektuurimuuseum;Kultuuriministeeriumi haldusala;70004560
Eesti Draamateater;Kultuuriministeeriumi haldusala;90008264
Eesti Kunstimuuseum;Kultuuriministeeriumi haldusala;70004548
Eesti Lastekirjanduse Keskus;Kultuuriministeeriumi haldusala;70001030
Eesti Rahvusraamatukogu;Kultuuriministeeriumi haldusala;74000139
Eesti Rahvusringhääling;Kultuuriministeeriumi haldusala;74002322
Eesti Spordimuuseum;Kultuuriministeeriumi haldusala;70004353
Eesti Teatri- ja Muusikamuuseum;Kultuuriministeeriumi haldusala;70004382
Integratsiooni ja Migratsiooni Sihtasutus Meie Inimesed;Kultuuriministeeriumi haldusala;90000788
Kultuuriministeerium;Kultuuriministeeriumi haldusala;70000941
Muinsuskaitseamet;Kultuuriministeeriumi haldusala;70000958
Palamuse O. Lutsu Kihelkonnakoolimuuseum;Kultuuriministeeriumi haldusala;70004137
Rahvakultuuri Keskus;Kultuuriministeeriumi haldusala;70001024
Rahvusooper Estonia;Kultuuriministeeriumi haldusala;74000033
SA Eesti Kontsert;Kultuuriministeeriumi haldusala;90012596
SA Eesti Riiklik Sümfooniaorkester;Kultuuriministeeriumi haldusala;90012610
SA Endla Teater;Kultuuriministeeriumi haldusala;90010769
SA Haapsalu ja Läänemaa Muuseumid;Kultuuriministeeriumi haldusala;90012432
SA Hiiumaa Muuseumid;Kultuuriministeeriumi haldusala;90012892
SA Pärnu Muuseum;Kultuuriministeeriumi haldusala;70001811
SA Teater Vanemuine;Kultuuriministeeriumi haldusala;90011065
SA Tehvandi Spordikeskus;Kultuuriministeeriumi haldusala;90007715
SA UNESCO Eesti Rahvuslik Komisjon;Kultuuriministeeriumi haldusala;90005797
SA Vene Teater;Kultuuriministeeriumi haldusala;90008666
Tartu Kunstimuuseum;Kultuuriministeeriumi haldusala;70004366
Viljandi Muuseum;Kultuuriministeeriumi haldusala;70002874
C. R. Jakobsoni Talumuuseum;Kultuuriministeeriumi haldusala;70002584
Eesti Piimandusmuuseum;Kultuuriministeeriumi haldusala;70005982
Eesti Põllumajandusmuuseum;Kultuuriministeeriumi haldusala;70002578
Eesti Taimekasvatuse Instituut;Kultuuriministeeriumi haldusala;70000869
Maaelu Edendamise Sihtasutus;Kultuuriministeeriumi haldusala;90000245
Maaeluministeerium;Kultuuriministeeriumi haldusala;70000734
