id.x;kanal.x;aasta;ajakulu.y;hind.y;osutamistearv.y;rahulolu.y
AHHA-009;Letiteenus büroos;2015;;;213000;
AKI-003;E-post;2015;;;29;
AKI-005;E-post;2015;;;5;
AKK-003;Letiteenus büroos;2015;;;36;
AKK-005;Letiteenus büroos;2015;;;21;
AKK-006;Letiteenus büroos;2015;;;42;
EKM-001;Veebileht;2015;;;33602;
EKM-002;E-post;2015;;1282;260624;
EKM-002;Veebileht;2015;;2160;442268;
EKM-003;Veebileht;2015;;600;785;
ENTK-004;Veebileht;2015;;;5000;
EPA-002;Letiteenus büroos;2015;;;141;
EPA-003;Letiteenus büroos;2015;;;7;
EPA-004;Letiteenus büroos;2015;;;20;
EPA-004;Veebileht;2015;;;41;
EPA-005;Letiteenus büroos;2015;;;10;
EPA-005;Post;2015;;;16;
EPA-006;Letiteenus büroos;2015;;;206;
EPA-006;Veebileht;2015;;;817;
EPA-007;Veebileht;2015;;;33126;
EPA-010;Veebileht;2015;;;1052368;
EPA-011;Veebileht;2015;;;22196;
EPA-012;Veebileht;2014;;;2670;
EPA-014;Veebileht;2014;;;5;
EPA-015;Post;2014;;;402;
EPA-016;E-post;2014;;;862;
EPA-016;Post;2014;;;1055;
EPA-017;Veebileht;2014;;;2;
EPA-018;Veebileht;2014;;;4;
EPA-019;E-post;2014;;;7;
EPA-019;Veebileht;2014;;;1;
EPA-020;Veebileht;2014;;;2;
EPA-022;E-post;2014;;;36;
EPA-022;Letiteenus büroos;2014;;;233;
EPA-023;Letiteenus büroos;2014;;;106;
EPA-025;Veebileht;2014;;;8;
EPM-001;Veebileht;2014;;;70000;
EPM-002;E-post;2014;;;300;
EPM-002;Letiteenus büroos;2014;;;717;
EPM-002;Veebileht;2014;;;70000;
EPM-003;E-post;2014;;;600;
EPM-003;Veebileht;2014;;;70000;
EPM-004;E-post;2014;;;5000;
EPM-004;Letiteenus büroos;2014;;;2159;
EPM-007;Letiteenus büroos;2014;;;10175;
EPM-007;Telefon;2014;;;100;
EPM-007;Veebileht;2014;;;25000;
EPM-008;Letiteenus büroos;2014;;;359;
EPM-008;Telefon;2014;;;100;
EPM-008;Veebileht;2014;;;6000;
EPM-011;E-post;2014;;;59;
EPM-011;Letiteenus büroos;2014;;;21;
EPM-011;Veebileht;2014;;;360;
EPM-012;Letiteenus büroos;2014;;;497;
EPM-013;E-post;2014;;;10;
EPM-013;Post;2014;;;3;
EPM-014;E-post;2014;;;200;
EPM-014;Letiteenus büroos;2014;;;58611;
EPM-014;Telefon;2014;;;200;
EPM-015;Letiteenus büroos;2014;;;59700;
EPM-015;Telefon;2014;;;1000;
EPM-017;E-post;2014;;;200;
EPM-017;Letiteenus büroos;2014;;;854;
EPM-017;Veebileht;2014;;;10000;
HTM-007;E-post;2014;;;300;
HTM-010;Veebileht;2014;;;116169;
INNO-004;Letiteenus büroos;2014;;;29512;
JUM-001;Veebileht;2014;0.2;20000;713;
JUM-005;Veebileht;2014;;;47499331;
JUM-008;Veebileht;2014;;;6379711;
JUM-010;Veebileht;2014;;;8000208;
JUM-056;E-iseteenindus;2014;;72000;6051;
KAM-002;Veebileht;2014;;;49;
KAM-004;Veebileht;2014;;;98;
KKAG-004;Veebileht;2014;;;19500;
