nimi;haldusala;registrikood
Eesti Keele Instituut;70000740;70004011
Eesti Noorsootöö Keskus;70000740;70005312
Eesti Teadusagentuur;70000740;90000759
Haridus- ja Teadusministeerium;70000740;70000740
Hariduse Infotehnoloogia Sihtasutus;70000740;90005872
Keeleinspektsioon;70000740;70003690
Rahvusarhiiv;70000740;70001946
SA Teaduskeskus AHHAA;70000740;90007572
Sihtasutus Archimedes;70000740;80011561
Sihtasutus Innove;70000740;90008287
Sihtasutus Kutsekoda;70000740;90006414
Spordikoolituse ja –Teabe Sihtasutus;70000740;90007023
Andmekaitse Inspektsioon;70000898;70004235
Eesti Kohtuekspertiisi Instituut;70000898;70003572
Justiitsministeerium;70000898;70000898
Konkurentsiamet;70000898;70000303
Patendiamet;70000898;70003164
Registrite ja Infosüsteemide Keskus;70000898;70000310
Eesti Sõjamuuseum;70004502;70006139
Kaitseliit;70004502;74000725
Kaitseministeerium;70004502;70004502
Kaitseressursside Amet;70004502;70007647
Kaitsevägi;70004502;70008641
Seli tervisekeskus;70004502;70006257
Teabeamet;70004502;70005938
Keskkonnaagentuur;70001231;70009540
Keskkonnaamet;70001231;70008658
Keskkonnainspektsioon;70001231;70003106
Keskkonnaministeerium;70001231;70001231
Maa-amet;70001231;70003098
SA Erametsakeskus;70001231;90005449
Eesti Arhitektuurimuuseum;70000941;70004560
Eesti Draamateater;70000941;90008264
Eesti Kunstimuuseum;70000941;70004548
Eesti Lastekirjanduse Keskus;70000941;70001030
Eesti Rahvusraamatukogu;70000941;74000139
Eesti Rahvusringhääling;70000941;74002322
Eesti Spordimuuseum;70000941;70004353
Eesti Teatri- ja Muusikamuuseum;70000941;70004382
Integratsiooni ja Migratsiooni Sihtasutus Meie Inimesed;70000941;90000788
Kultuuriministeerium;70000941;70000941
Muinsuskaitseamet;70000941;70000958
Palamuse O. Lutsu Kihelkonnakoolimuuseum;70000941;70004137
Rahvakultuuri Keskus;70000941;70001024
Rahvusooper Estonia;70000941;74000033
SA Eesti Kontsert;70000941;90012596
SA Eesti Riiklik Sümfooniaorkester;70000941;90012610
SA Endla Teater;70000941;90010769
SA Haapsalu ja Läänemaa Muuseumid;70000941;90012432
SA Hiiumaa Muuseumid;70000941;90012892
SA Pärnu Muuseum;70000941;70001811
SA Teater Vanemuine;70000941;90011065
SA Tehvandi Spordikeskus;70000941;90007715
SA UNESCO Eesti Rahvuslik Komisjon;70000941;90005797
SA Vene Teater;70000941;90008666
Tartu Kunstimuuseum;70000941;70004366
Viljandi Muuseum;70000941;70002874
C. R. Jakobsoni Talumuuseum;70000941;70002584
Eesti Piimandusmuuseum;70000941;70005982
Eesti Põllumajandusmuuseum;70000941;70002578
Eesti Taimekasvatuse Instituut;70000941;70000869
Maaelu Edendamise Sihtasutus;70000941;90000245
Maaeluministeerium;70000941;70000734
Maamajanduse Infokeskus;70000941;70000059
Põllumajandusamet;70000941;70000071
Põllumajanduse Registrite ja Informatsiooni Amet;70000941;70005967
