id.x;link;kanal.x;ajakulu.y;hind.y;osutamistearv.y;rahulolu.y
AGRI-001;http://www.agri.ee/et/eesmargid-tegevused/kalamajandus-ja-kutseline-kalapuuk/piirkondlikud-keskused;Letiteenus büroos;;;;
AGRI-001;http://www.agri.ee/et/eesmargid-tegevused/kalamajandus-ja-kutseline-kalapuuk/puugiload-ja-puugivoimaluste-jaotus;Veebileht;;;;
AGRI-002;http://www.agri.ee/et/eesmargid-tegevused/kalamajandus-ja-kutseline-kalapuuk/piirkondlikud-keskused;Letiteenus büroos;;;;
AGRI-003;http://www.agri.ee/et/eesmargid-tegevused/kalamajandus-ja-kutseline-kalapuuk/piirkondlikud-keskused;Letiteenus büroos;;;;
AGRI-004;http://www.agri.ee/et/eesmargid-tegevused/kalamajandus-ja-kutseline-kalapuuk/kalalaevaregister;E-post;;;;
AGRI-004;http://www.agri.ee/et/eesmargid-tegevused/kalamajandus-ja-kutseline-kalapuuk/kalalaevaregister;Veebileht;;;;
AGRI-005;https://kis.agri.ee;Veebileht;;;;
AGRI-006;http://www.agri.ee/et/eesmargid-tegevused/kalamajandus-ja-kutseline-kalapuuk/turukorraldus#oigusaktid;E-post;;;;
AGRI-007;http://www.agri.ee/et/eesmargid-tegevused/euroopa-merendus-ja-kalandusfond-emkf-2014-2020;E-post;;;;
AHHA-001;http://ahhaa.voog.com/lisateenused/seminariruumide-rent;E-post;;;;
AHHA-001;http://ahhaa.voog.com/lisateenused/seminariruumide-rent;Telefon;;;;
AHHA-002;http://ahhaa.voog.com/lisateenused/peod-ahhaas;E-post;;;;
AHHA-002;http://ahhaa.voog.com/lisateenused/peod-ahhaas;Telefon;;;;
AHHA-003;http://ahhaa.voog.com/gruppidele/koolidele;E-post;;;;
AHHA-003;http://ahhaa.voog.com/gruppidele/koolidele;Telefon;;;;
AHHA-004;http://ahhaa.voog.com/ahhaa-ope;E-post;;;;
AHHA-004;http://ahhaa.voog.com/ahhaa-ope;Telefon;;;;
AHHA-005;http://ahhaa.voog.com/ahhaa-ope;E-post;;;;
AHHA-005;http://ahhaa.voog.com/ahhaa-ope;Telefon;;;;
AHHA-006;http://ahhaa.voog.com/lisateenused/enesearenguprogramm-meeskondadele;E-post;;;;
AHHA-006;http://ahhaa.voog.com/lisateenused/enesearenguprogramm-meeskondadele;Telefon;;;;
AHHA-007;http://ahhaa.voog.com/kinokava;Letiteenus büroos;;;;
AHHA-008;http://ahhaa.voog.com/lisateenused/tootekataloog;E-post;;;;
AHHA-008;http://ahhaa.voog.com/lisateenused/tootekataloog;Letiteenus büroos;;;;
AHHA-008;http://ahhaa.voog.com/lisateenused/tootekataloog;Telefon;;;;
AHHA-009;www.ahhaa.ee;Letiteenus büroos;;;213000;
AKI-001;https://diatregister.just.ee/;E-iseteenindus;;;;
AKI-002;https://diatregister.just.ee/;E-iseteenindus;;;;
AKI-003;http://www.aki.ee/et/eraelu-kaitse/teadusuuring;E-post;;;29;
AKI-004;http://www.aki.ee/et/eraelu-kaitse/isikuandmete-edastamine-valisriiki;E-post;;;;
AKI-005;http://www.aki.ee/et/poordu-inspektsiooni-poole/isikuandmetega-seotud-rikkumisest-teatamine;E-post;;;5;
AKI-006;http://www.aki.ee/et/rahvusvaheline-koostoo/schengen;E-post;;;;
AKI-007;http://ec.europa.eu/citizens-initiative/public/how-it-works/certification;E-post;;;;
AKI-008;http://www.aki.ee/et/usa-terroristide-rahastamise-jalgimisprogrammis-tftp-sailitatavad-isikuandmed;E-post;;;;
AKI-009;http://www.aki.ee/et/poordu-inspektsiooni-poole/teabenoue;E-post;;;;
AKI-010;http://www.aki.ee/et/poordu-inspektsiooni-poole/selgitustaotlus;E-post;;;;
AKI-011;http://www.aki.ee/et/poordu-inspektsiooni-poole/margukiri;E-post;;;;
AKI-012;http://www.aki.ee/et/poordu-inspektsiooni-poole/kaebus;E-post;;;;
AKI-013;http://www.aki.ee/et/poordu-inspektsiooni-poole/vaie;E-post;;;;
AKI-014;http://www.aki.ee/et/inspektsioon/avaandmed;Veebileht;;;;
AKI-015;http://www.aki.ee/et/inspektsioon/avaandmed;Veebileht;;;;
AKI-016;http://www.aki.ee/et/inspektsioon/kontaktid-nouandetelefon;Telefon;;;;
AKI-017;http://www.aki.ee/et/dokumendiregister/register;Veebileht;;;;
AKK-001;http://www.astangu.ee/reha/teenused/;Letiteenus büroos;;;;
AKK-002;http://www.astangu.ee/reha/toeoealane-rehabilitatsioon/;Letiteenus büroos;;;;
AKK-003;http://www.astangu.ee/too/kt/teenuse-kirjeldus/;Letiteenus büroos;;;36;
AKK-004;http://www.astangu.ee/oppetoo/oppevoimalused/kohanemiskursused/;Letiteenus büroos;;;;
AKK-005;http://www.astangu.ee/oppetoo/oppevoimalused/toooppekursused/;Letiteenus büroos;;;21;
AKK-006;http://www.astangu.ee/oppetoo/oppevoimalused/kutseharidus/;Letiteenus büroos;;;42;
AKK-007;http://www.astangu.ee/reha/hindamine.html;Letiteenus büroos;;;;
AKK-008;http://www.abivahendikeskus.astangu.ee/teenused/abivahendialane-noustamine/;Kliendijuures;;;;
AKK-009;http://www.abivahendikeskus.astangu.ee/teenused/kodukeskkonna-kohandamise-noustamine/;Kliendijuures;;;;
ARCH-001;http://archimedes.ee/;E-post;;;;
ARCH-001;http://archimedes.ee/;Letiteenus büroos;;;;
ARCH-001;http://archimedes.ee/tegevused/dokumendi-saatmine/;Veebileht;;;;
ARCH-003;http://www.studyinestonia.ee/;Veebileht;;;;
ARCH-004;http://ekka.archimedes.ee/;Kliendijuures;;;;
ARCH-004;http://archimedes.ee/tegevused/dokumendi-saatmine/;Veebileht;;;;
ARCH-005;https://wd.archimedes.ee/?page=ekka_search_dynobj&tid=94722&u=20150610134521&desktop=10016;Veebileht;;;;
ARCH-006;http://archimedes.ee/enic/;E-post;;;;
ARCH-006;http://archimedes.ee/enic/;Kliendijuures;;;;
ARCH-006;http://archimedes.ee/enic/;Veebileht;;;;
ARCH-007;http://archimedes.ee/enic/;E-post;;;;
ARCH-007;http://archimedes.ee/enic/;Letiteenus büroos;;;;
ARCH-007;http://archimedes.ee/enic/;Veebileht;;;;
ARCH-008;http://archimedes.ee/tegevused/dokumendi-saatmine/;E-iseteenindus;;;;
ARCH-008;http://archimedes.ee/str/;E-post;;;;
ARCH-008;http://archimedes.ee/str/;Letiteenus büroos;;;;
ARCH-008;http://archimedes.ee/str/;Veebileht;;;;
ARCH-009;http://archimedes.ee/tegevused/dokumendi-saatmine/;E-iseteenindus;;;;
ARCH-009;http://euroopa.noored.ee/;E-post;;;;
ARCH-009;http://euroopa.noored.ee/;Letiteenus büroos;;;;
ARCH-009;http://euroopa.noored.ee/;Veebileht;;;;
ARCH-010;http://euroopa.noored.ee/;E-post;;;;
ARCH-010;http://euroopa.noored.ee/;Letiteenus büroos;;;;
ARCH-010;http://euroopa.noored.ee/;Veebileht;;;;
ARCH-011;http://archimedes.ee/tegevused/dokumendi-saatmine/;E-iseteenindus;;;;
ARCH-011;http://euroopa.noored.ee/;E-post;;;;
ARCH-011;http://euroopa.noored.ee/;Veebileht;;;;
CONC-001;www.eestikontsert.ee;Veebileht;;;;
EAM-001;http://www.arhitektuurimuuseum.ee/muuseum/pood/;Veebileht;;;;
EAM-002;http://www.arhitektuurimuuseum.ee/kulastus/piletihinnad/;Veebileht;;;;
EAM-003;http://www.arhitektuurimuuseum.ee/muuseum/teenused/urituste-korraldamine/;Veebileht;;;;
EAM-004;http://arhitektuurimuuseum.ee/haridus/ekskursioonid/;Veebileht;;;;
EAM-005;http://www.arhitektuurimuuseum.ee/haridus/haridusprogrammid/;Veebileht;;;;
EAM-007;http://arhitektuurimuuseum.ee/raamatukogu/;Veebileht;;;;
EAM-008;http://arhitektuurimuuseum.ee/kogud/kogude-kasutamise-hinnakiri/;Veebileht;;;;
EAM-009;http://www.arhitektuurimuuseum.ee/naitused/naitused-laenuks/;Veebileht;;;;
EDT-001;http://draamateater.ee/playlist;Veebileht;;;;
EDT-002;http://draamateater.ee/piletiinfo;E-post;;;;
EDT-003;https://www.piletimaailm.com/;E-iseteenindus;;;;
EDT-003;https://www.piletimaailm.com/content_documents/887;E-post;;;;
EDT-003;https://www.piletimaailm.com/content_documents/14;Letiteenus büroos;;;;
EDT-003;https://www.piletimaailm.com/;Nutirakendus;;;;
EDT-003;https://www.piletimaailm.com/;Veebileht;;;;
EDT-004;http://draamateater.ee/kontakt;Veebileht;;;;
EKEI-001;http://www.ekei.ee/et/form/teabenoue;Veebileht;;;;
EKM-001;http://digikogu.ekm.ee/;Veebileht;;;33602;
EKM-002;http://kunstimuuseum.ekm.ee/pressile/uudiskirjad;E-post;;1282;260624;
EKM-002;http://kunstimuuseum.ekm.ee/;Veebileht;;2160;442268;
EKM-003;http://pood.ekm.ee/;Veebileht;;600;785;
ELK-001;http://www.elk.ee/riksweb/index.asp?action=10;E-iseteenindus;;;;
ELK-002;http://www.elk.ee/?page_id=652;E-post;;;;
ELK-003;http://www.elk.ee/?page_id=10440;E-post;;;;
EMK-001;http://www.pria.ee/et/ePRIA;E-iseteenindus;;;;
EN-001;http://www.piletilevi.ee/;E-iseteenindus;;;;
EN-001;http://www.endla.ee/mangukava;Veebileht;;;;
ENTK-001;http://www.entk.ee/;Veebileht;;;;
ENTK-002;http://www.entk.ee/kontaktid;Letiteenus büroos;;;;
ENTK-002;http://www.entk.ee/rahastamine-1;Veebileht;;;;
ENTK-004;https://www.stardiplats.ee/;Veebileht;;;5000;
ENTK-005;http://www.noorteseire.ee/;Veebileht;;;;
ENTK-006;https://www.entk.ee/kvaliteedihindamine;Veebileht;;;;
ENTK-007;https://www.entk.ee;Veebileht;;;;
ENTK-008;https://www.entk.ee/noorsootootajakutse;Veebileht;;;;
ENTK-009;https://www.entk.ee/teeviit-2015;Veebileht;;;;
ENTK-010;https://www.entk.ee/;Veebileht;;;;
ENTK-011;https://www.entk.ee/laagrid;Veebileht;;;;
ENTK-012;https://www.entk.ee/malevad;Veebileht;;;;
ENTK-013;https://www.entk.ee/;Veebileht;;;;
ENTK-014;https://www.entk.ee;Veebileht;;;;
ENTK-015;https://www.entk.ee/;Veebileht;;;;
ENTK-016;https://www.entk.ee/noorteuehingute-aastatoetuse-taotlemine-jaergmiseks-aastaks-alanud;Veebileht;;;;
ENTK-017;https://www.entk.ee/varaait-vol-12;Veebileht;;;;
ENTK-018;https://www.entk.ee;Veebileht;;;;
ENTK-019;https://www.entk.ee/kloogarannanoortelaager;Veebileht;;;;
ENTK-020;https://www.entk.ee;Veebileht;;;;
ENTK-021;https://www.entk.ee;Veebileht;;;;
EPA-002;http://www.epa.ee/et/kuidas-saada-kaubamargile-kaitset/kuidas-saada-kaubamargile-kaitset-eestis;Letiteenus büroos;;;141;
EPA-002;http://www.epa.ee/et/kuidas-saada-kaubamargile-kaitset/kuidas-saada-kaubamargile-kaitset-eestis;Post;;;;
EPA-002;https://teenused.epa.ee/;Veebileht;;;;
EPA-003;http://www.epa.ee/et/patendid/taotluse-koostamine-ja-esitamine;Letiteenus büroos;;;7;
EPA-003;http://www.epa.ee/et/patendid/taotluse-koostamine-ja-esitamine;Post;;;;
EPA-003;https://online.epa.ee/;Veebileht;;;;
EPA-004;http://www.epa.ee/et/kasulikud-mudelid/taotluse-koostamine-ja-esitamine;Letiteenus büroos;;;20;
EPA-004;http://www.epa.ee/et/kasulikud-mudelid/taotluse-koostamine-ja-esitamine;Post;;;;
EPA-004;https://online.epa.ee/;Veebileht;;;41;
EPA-005;http://www.epa.ee/et/kuidas-saada-toostusdisainilahendusele-kaitset/kuidas-saada-toostusdisainilahendusele-kaitset-eestis;Letiteenus büroos;;;10;
EPA-005;http://www.epa.ee/et/kuidas-saada-toostusdisainilahendusele-kaitset/kuidas-saada-toostusdisainilahendusele-kaitset-eestis;Post;;;16;
EPA-005;https://teenused.epa.ee/;Veebileht;;;;
EPA-006;http://www.epa.ee/et/toimingud-eesti-patendiregistris/eestis-kehtivate-euroopa-patentide-register;Letiteenus büroos;;;206;
EPA-006;http://www.epa.ee/et/toimingud-eesti-patendiregistris/eestis-kehtivate-euroopa-patentide-register;Post;;;;
EPA-006;https://online.epa.ee/;Veebileht;;;817;
EPA-007;http://www1.epa.ee/patent/default2.asp;Veebileht;;;33126;
EPA-008;http://www1.epa.ee/ep/default2.asp;Veebileht;;;;
EPA-009;http://www2.epa.ee/Patent/mudel.nsf/SearchEst?OpenForm;Veebileht;;;;
EPA-010;http://www2.epa.ee/Patent/mark.nsf/SearchEst?OpenForm;Veebileht;;;1052368;
EPA-011;http://www2.epa.ee/Patent/design.nsf/SearchEst?OpenForm;Veebileht;;;22196;
EPA-012;http://www2.epa.ee/Patent/georeg.nsf/SearchEst?OpenForm;Veebileht;;;2670;
EPA-013;http://www.epa.ee/et/toimingud-eesti-kaubamargiregistris/muudatused-registris;E-post;;;;
EPA-013;http://www.epa.ee/et/toimingud-eesti-kaubamargiregistris/muudatused-registris;Post;;;;
EPA-013;https://teenused.epa.ee/;Veebileht;;;;
EPA-014;http://www.epa.ee/form/teabenoue;E-post;;;;
EPA-014;http://www.epa.ee/form/teabenoue;Faks;;;;
EPA-014;http://www.epa.ee/form/teabenoue;Letiteenus büroos;;;;
EPA-014;http://www.epa.ee/form/teabenoue;Post;;;;
EPA-014;http://www.epa.ee/form/teabenoue;Telefon;;;;
EPA-014;http://www.epa.ee/form/teabenoue;Veebileht;;;5;
EPA-015;http://www.epa.ee/et/toimingud-eesti-kaubamargiregistris/muudatused-registris;E-post;;;;
EPA-015;http://www.epa.ee/et/toimingud-eesti-kaubamargiregistris/muudatused-registris;Post;;;402;
EPA-015;https://teenused.epa.ee/;Veebileht;;;;
EPA-016;http://www.epa.ee/et/toimingud-eesti-kaubamargiregistris/pikendamine;E-post;;;862;
EPA-016;http://www.epa.ee/et/toimingud-eesti-kaubamargiregistris/pikendamine;Post;;;1055;
EPA-016;https://teenused.epa.ee/;Veebileht;;;;
EPA-017;http://www.epa.ee/et/toimingud-eesti-kaubamargiregistris/muudatused-registris;E-post;;;;
