id;kliendigrupp
VET-022;eraisik
VET-020;eraisik
VET-018;eraisik
VET-017;eraisik
VET-016;eraisik
AKI-017;eraisik
VET-015;eraisik
PRIA-162;eraisik
PRIA-161;eraisik
VET-014;eraisik
RAVI-046;eraisik
RAVI-045;eraisik
RAVI-044;eraisik
RAVI-043;eraisik
RAVI-041;eraisik
RAVI-040;eraisik
RAVI-039;eraisik
RAVI-038;eraisik
RAVI-037;eraisik
RAVI-036;eraisik
RAVI-035;eraisik
RAVI-034;eraisik
RAVI-033;eraisik
RAVI-032;eraisik
RAVI-031;eraisik
RAVI-030;eraisik
RAVI-029;eraisik
RAVI-028;eraisik
RAVI-027;eraisik
RAVI-026;eraisik
RAVI-025;eraisik
RAVI-024;eraisik
RAVI-023;eraisik
RAVI-022;eraisik
RAVI-021;eraisik
VET-013;eraisik
TA-002;eraisik
TA-001;eraisik
AKK-009;eraisik
AKK-008;eraisik
AKK-007;eraisik
AKK-006;eraisik
AKK-005;eraisik
AKK-004;eraisik
TERV-010;eraisik
AKK-003;eraisik
TERV-009;eraisik
AKK-002;eraisik
TERV-008;eraisik
TERV-007;eraisik
TERV-006;eraisik
TERV-004;eraisik
AKK-001;eraisik
TERV-003;eraisik
JUM-057;eraisik
RES-203;eraisik
VETL-013;eraisik
VETL-012;eraisik
VETL-011;eraisik
VETL-010;eraisik
VETL-009;eraisik
VETL-008;eraisik
VETL-007;eraisik
VETL-006;eraisik
VETL-005;eraisik
VETL-004;eraisik
VETL-003;eraisik
VETL-002;eraisik
VETL-001;eraisik
MKM-062;eraisik
MKM-061;eraisik
MKM-060;eraisik
MKM-059;eraisik
MKM-058;eraisik
MKM-057;eraisik
MKM-056;eraisik
MKM-055;eraisik
MKM-054;eraisik
MKM-053;eraisik
MKM-052;eraisik
MKM-050;eraisik
TERV-002;eraisik
MAA-047;eraisik
MAA-046;eraisik
TI-030;eraisik
TI-029;eraisik
TI-028;eraisik
TI-027;eraisik
TI-026;eraisik
TI-025;eraisik
TI-024;eraisik
TI-023;eraisik
TI-022;eraisik
TI-021;eraisik
TI-020;eraisik
TI-019;eraisik
TI-018;eraisik
TI-017;eraisik
TI-016;eraisik
TI-015;eraisik
TI-014;eraisik
TI-013;eraisik
TI-012;eraisik
TI-011;eraisik
TI-010;eraisik
EPM-017;eraisik
AHHA-009;eraisik
KKAG-040;eraisik
PMK-007;eraisik
TKA-011;eraisik
TKA-010;eraisik
TKA-009;eraisik
MA-074;eraisik
TERV-001;eraisik
KKAG-039;eraisik
TI-009;eraisik
TI-007;eraisik
TI-006;eraisik
TI-005;eraisik
TI-004;eraisik
TI-003;eraisik
TI-002;eraisik
TI-001;eraisik
KKAG-038;eraisik
ERSO-001;eraisik
KKAG-037;eraisik
PMA-035;eraisik
PMA-033;eraisik
PMA-032;eraisik
PMK-006;eraisik
KKAG-036;eraisik
MESA-002;eraisik
KKAG-035;eraisik
KKAG-034;eraisik
JUM-056;eraisik
KKAG-033;eraisik
PMA-029;eraisik
PMA-026;eraisik
ENTK-021;eraisik
ENTK-020;eraisik
ENTK-019;eraisik
ENTK-018;eraisik
ENTK-017;eraisik
ENTK-016;eraisik
ENTK-015;eraisik
ENTK-014;eraisik
ENTK-013;eraisik
ENTK-012;eraisik
ENTK-011;eraisik
ENTK-010;eraisik
ENTK-009;eraisik
ENTK-008;eraisik
ENTK-007;eraisik
ENTK-006;eraisik
ENTK-005;eraisik
ENTK-004;eraisik
MA-073;eraisik
KKAG-032;eraisik
KKAG-031;eraisik
KKAG-030;eraisik
MA-072;eraisik
MA-071;eraisik
KKAG-029;eraisik
KKAG-028;eraisik
KKAG-027;eraisik
KKAG-026;eraisik
MA-070;eraisik
KKAG-021;eraisik
KKAG-019;eraisik
PMA-024;eraisik
KKAG-018;eraisik
KKAG-017;eraisik
KKAG-016;eraisik
KKAG-015;eraisik
PRIA-160;eraisik
PRIA-159;eraisik
PRIA-158;eraisik
PRIA-157;eraisik
PRIA-156;eraisik
PRIA-155;eraisik
PRIA-154;eraisik
PRIA-153;eraisik
PRIA-152;eraisik
PRIA-151;eraisik
PRIA-150;eraisik
PRIA-149;eraisik
PRIA-148;eraisik
PRIA-147;eraisik
PRIA-146;eraisik
PRIA-145;eraisik
KKAG-014;eraisik
RAVI-020;eraisik
RAVI-019;eraisik
RAVI-018;eraisik
RAVI-017;eraisik
RAVI-016;eraisik
RAVI-015;eraisik
RAVI-014;eraisik
RAVI-013;eraisik
RAVI-011;eraisik
RAVI-010;eraisik
RAVI-009;eraisik
RAVI-008;eraisik
RAVI-007;eraisik
RAVI-006;eraisik
RAVI-005;eraisik
RAVI-004;eraisik
RAVI-003;eraisik
RAVI-002;eraisik
MFA-041;eraisik
PMA-022;eraisik
PMA-021;eraisik
PMA-020;eraisik
KKAG-013;eraisik
PMA-019;eraisik
KKAG-012;eraisik
KKAG-011;eraisik
KKAG-010;eraisik
KKAG-009;eraisik
KKAG-008;eraisik
MA-069;eraisik
PMA-017;eraisik
MFA-040;eraisik
RIK-005;eraisik
MFA-039;eraisik
KKAG-007;eraisik
KKAG-006;eraisik
KKAG-005;eraisik
MFA-038;eraisik
MFA-037;eraisik
MFA-036;eraisik
MFA-035;eraisik
MFA-034;eraisik
MFA-033;eraisik
MFA-032;eraisik
MFA-031;eraisik
MFA-030;eraisik
MFA-029;eraisik
PRIA-144;eraisik
PRIA-143;eraisik
PRIA-142;eraisik
PRIA-141;eraisik
PRIA-140;eraisik
PRIA-139;eraisik
PRIA-138;eraisik
PRIA-126;eraisik
PRIA-125;eraisik
PRIA-124;eraisik
PRIA-123;eraisik
PRIA-122;eraisik
PRIA-119;eraisik
PRIA-118;eraisik
PRIA-117;eraisik
PRIA-116;eraisik
PRIA-115;eraisik
PRIA-114;eraisik
PRIA-113;eraisik
PRIA-112;eraisik
PRIA-111;eraisik
PRIA-109;eraisik
PRIA-108;eraisik
PRIA-107;eraisik
PRIA-106;eraisik
PRIA-105;eraisik
PRIA-104;eraisik
PRIA-103;eraisik
PRIA-102;eraisik
PRIA-101;eraisik
PRIA-100;eraisik
PRIA-099;eraisik
PRIA-098;eraisik
MFA-028;eraisik
MFA-027;eraisik
MFA-026;eraisik
MFA-025;eraisik
MFA-024;eraisik
MFA-023;eraisik
HITS-006;eraisik
HITS-005;eraisik
HITS-004;eraisik
HITS-003;eraisik
HITS-002;eraisik
HITS-001;eraisik
RIIK-004;eraisik
PRIA-097;eraisik
PRIA-096;eraisik
PRIA-095;eraisik
PRIA-094;eraisik
PRIA-093;eraisik
MFA-022;eraisik
KRA-004;eraisik
MFA-021;eraisik
KRA-003;eraisik
KRA-002;eraisik
MFA-020;eraisik
MFA-019;eraisik
MFA-018;eraisik
PRIA-092;eraisik
PRIA-091;eraisik
KRA-001;eraisik
PRIA-090;eraisik
PRIA-089;eraisik
KAM-004;eraisik
KAM-003;eraisik
ESM-005;eraisik
ESM-004;eraisik
ESM-003;eraisik
KAM-002;eraisik
PRIA-088;eraisik
KKAG-004;eraisik
PRIA-087;eraisik
PRIA-085;eraisik
PRIA-084;eraisik
PRIA-083;eraisik
PRIA-082;eraisik
PRIA-081;eraisik
PRIA-080;eraisik
KI-009;eraisik
KI-008;eraisik
KI-007;eraisik
HÄIR-004;eraisik
HÄIR-003;eraisik
HÄIR-002;eraisik
KEM-027;eraisik
KEM-026;eraisik
KEM-025;eraisik
KEM-023;eraisik
RIIK-003;eraisik
KL-004;eraisik
EPA-025;eraisik
EPA-024;eraisik
EPA-023;eraisik
EPA-022;eraisik
MFA-017;eraisik
MFA-016;eraisik
RIK-004;eraisik
MA-067;eraisik
RIIK-002;eraisik
MAA-045;eraisik
MAA-044;eraisik
MAA-043;eraisik
MAA-042;eraisik
MAA-041;eraisik
MAA-040;eraisik
MFA-015;eraisik
MFA-014;eraisik
VILJ-001;eraisik
MFA-013;eraisik
MFA-012;eraisik
EPA-021;eraisik
TEHV-001;eraisik
mta-211;eraisik
PMA-015;eraisik
PMA-014;eraisik
VENE-005;eraisik
VENE-004;eraisik
VENE-003;eraisik
VENE-002;eraisik
MFA-011;eraisik
mta-210;eraisik
PMK-005;eraisik
PRIA-079;eraisik
mta-209;eraisik
PRIA-078;eraisik
PRIA-077;eraisik
PRIA-076;eraisik
PRIA-075;eraisik
